"nrep" "ndet" "site" "day" "year"
"337" 1 0 7 176 2008
"338" 1 0 7 168 2008
"339" 3 0 7 130 1997
"340" 1 0 7 157 1999
"341" 1 0 7 131 1999
"342" 1 0 7 176 1999
"343" 1 0 7 163 1999
"344" 1 0 7 180 1999
"345" 1 0 7 168 1999
"346" 1 0 7 177 1999
"347" 2 0 7 116 1999
"348" 1 0 7 158 1999
"349" 1 0 7 155 1999
"350" 1 0 7 119 1999
"351" 1 1 7 138 1999
"352" 1 0 7 153 1999
"353" 1 0 7 117 1999
"354" 1 0 7 126 1999
"355" 1 1 7 181 1999
"356" 1 0 7 166 1999
"357" 2 0 7 172 2000
"358" 1 0 7 121 2000
"359" 1 0 7 105 2001
"360" 1 0 7 123 2000
"361" 1 0 7 106 2000
"362" 1 0 7 137 2000
"363" 1 0 7 125 2000
"364" 1 0 7 105 2000
"365" 1 0 7 118 2000
"366" 1 0 7 147 2010
"367" 2 0 7 140 2010
"368" 1 0 7 118 2012
"369" 1 0 7 123 2012
"370" 1 0 7 115 2012
"371" 1 0 7 109 2012
"372" 1 0 7 116 2012
"373" 1 0 7 117 2012
"374" 1 0 7 150 2010
"375" 1 0 7 117 2010
"376" 1 0 7 136 2010
"377" 1 0 7 137 2010
"378" 1 0 7 117 2008
"379" 1 0 7 124 2008
"380" 1 0 7 122 2010
"381" 1 0 7 127 2010
"382" 1 0 7 131 2010
"383" 1 0 7 124 2010
"384" 1 0 7 123 2010
"385" 1 0 7 119 2010
"386" 1 0 7 114 2001
"387" 2 0 7 165 2000
"388" 1 0 7 124 2001
"389" 2 1 7 137 2002
"390" 1 0 7 168 2001
"391" 3 3 7 132 2002
"392" 3 3 7 127 2002
"393" 2 2 7 129 2002
"394" 1 1 7 106 2002
"395" 1 1 7 107 2002
"396" 2 1 7 111 2002
"397" 1 0 7 108 2001
"398" 2 0 7 114 2002
"399" 1 0 7 113 2002
"400" 2 1 7 160 2002
"401" 1 1 7 118 2002
"402" 1 0 7 181 2002
"403" 1 0 7 167 2002
"404" 1 0 7 174 2002
"405" 2 2 7 117 2002
"406" 1 1 7 122 2002
"407" 1 0 7 134 2001
"408" 1 0 7 177 2007
"409" 1 0 7 161 2006
"410" 1 0 7 178 2006
"411" 1 0 7 105 2003
"412" 1 0 7 125 1999
"413" 1 1 7 115 2002
"414" 1 1 7 126 2002
"415" 1 1 7 130 2002
"416" 1 1 7 116 2002
"417" 1 1 7 145 2002
"418" 1 1 7 124 2002
"419" 1 0 7 152 2003
"420" 1 1 7 123 2002
"421" 1 0 7 111 1998
"422" 1 1 7 159 1998
"423" 1 1 7 122 2003
"424" 1 0 7 131 2003
"425" 1 0 8 124 2005
"426" 1 0 8 131 2007
"427" 1 1 8 116 2012
"428" 1 0 8 158 2010
"429" 1 0 8 131 2001
"430" 2 0 8 124 2002
"431" 1 0 8 114 2002
"432" 1 0 8 123 2002
"433" 1 0 8 127 2002
"434" 1 0 8 129 2002
"435" 1 0 8 105 2003
"436" 1 0 9 137 2009
"437" 1 0 9 135 2008
"438" 1 0 9 140 2007
"439" 1 0 9 153 2008
"440" 1 0 9 144 2008
"441" 1 0 9 124 2011
"442" 1 0 9 156 1999
"443" 1 0 9 121 2000
"444" 1 1 9 120 2010
"445" 1 1 9 113 2009
"446" 1 0 9 126 2002
"447" 1 1 9 135 2002
"448" 1 0 10 116 2012
"449" 1 0 10 111 2007
"450" 1 0 10 179 2007
"451" 1 1 10 141 2008
"452" 1 0 10 106 2005
"453" 3 0 10 132 2002
"454" 1 0 10 166 2003
"455" 1 0 10 105 2003
"456" 1 0 10 126 2004
"457" 1 0 10 114 2005
"458" 1 0 10 131 2007
"459" 1 0 10 123 2004
"460" 1 0 10 176 2004
"461" 1 0 10 115 2004
"462" 1 0 10 163 2005
"463" 1 1 10 160 2008
"464" 1 1 10 131 2008
"465" 1 1 10 132 2008
"466" 1 0 10 111 2011
"467" 1 0 10 114 2011
"468" 1 0 10 127 2008
"469" 1 0 10 124 2008
"470" 1 0 10 114 2010
"471" 1 0 10 135 2001
"472" 1 0 10 128 2002
"473" 1 0 10 131 2002
"474" 1 0 10 160 2001
"475" 2 0 10 127 2002
"476" 1 0 10 129 2002
"477" 2 0 10 126 2002
"478" 1 0 10 125 2002
"479" 1 0 10 135 2002
"480" 1 0 10 117 2002
"481" 1 0 10 177 2007
"482" 1 0 10 174 2007
"483" 1 0 10 115 2002
"484" 1 0 10 144 2002
"485" 1 0 10 152 2003
"486" 1 0 10 116 2003
"487" 3 0 11 111 2012
"488" 1 1 11 122 2012
"489" 2 2 11 133 2012
"490" 3 3 11 123 2012
"491" 1 1 11 127 2012
"492" 1 1 11 136 2012
"493" 2 0 11 107 2012
"494" 3 0 11 105 2012
"495" 1 0 11 129 1995
"496" 2 1 11 123 2007
"497" 1 0 11 111 2007
"498" 1 0 11 112 2007
"499" 1 0 11 116 2007
"500" 1 0 11 113 2007
"501" 2 0 11 112 2006
"502" 1 0 11 107 2007
"503" 1 0 11 108 2007
"504" 1 0 11 106 2007
"505" 2 0 11 119 2007
"506" 1 0 11 117 2007
"507" 1 0 11 118 2007
"508" 1 0 11 121 2007
"509" 1 0 11 141 2006
"510" 1 0 11 127 2006
"511" 1 0 11 105 2006
"512" 1 0 11 109 2006
"513" 1 0 11 119 2006
"514" 4 0 11 108 2010
"515" 3 0 11 110 2010
"516" 1 0 11 138 2009
"517" 1 0 11 141 2009
"518" 1 0 11 133 2009
"519" 1 0 11 115 2009
"520" 1 0 11 134 2009
"521" 1 0 11 107 2010
"522" 1 0 11 131 2009
"523" 2 0 11 105 2009
"524" 2 0 11 128 2008
"525" 2 0 11 130 2008
"526" 3 1 11 135 2008
"527" 1 0 11 116 2005
"528" 1 0 11 179 2007
"529" 1 0 11 114 2005
"530" 1 0 11 134 2005
"531" 1 0 11 110 2005
"532" 1 0 11 145 2007
"533" 1 0 11 178 2007
"534" 1 0 11 124 2005
"535" 1 0 11 136 2008
"536" 1 0 11 139 2008
"537" 1 0 11 132 2008
"538" 1 0 11 141 2008
"539" 2 0 11 137 2008
"540" 1 0 11 138 2008
"541" 1 0 11 134 2008
"542" 1 1 11 148 2008
"543" 1 0 11 144 2008
"544" 2 0 11 143 2008
"545" 1 0 11 142 2008
"546" 2 0 11 105 2003
"547" 1 0 11 169 2003
"548" 2 0 11 115 2004
"549" 1 0 11 151 2004
"550" 1 0 11 136 2004
"551" 2 0 11 109 2004
"552" 2 0 11 112 2004
"553" 1 0 11 116 2004
"554" 1 0 11 123 2004
"555" 1 0 11 137 2007
"556" 1 0 11 131 2007
"557" 1 0 11 144 2007
"558" 1 0 11 143 2007
"559" 1 0 11 140 2007
"560" 1 0 11 139 2007
"561" 1 0 11 138 2007
"562" 1 0 11 146 2007
"563" 1 0 11 152 2007
"564" 1 0 11 148 2007
"565" 1 0 11 147 2007
"566" 1 0 11 127 2007
"567" 1 0 11 126 2007
"568" 1 0 11 135 2007
"569" 1 0 11 106 2005
"570" 1 1 11 132 2011
"571" 1 1 11 127 2011
"572" 1 1 11 128 2011
"573" 1 1 11 140 2012
"574" 1 1 11 122 2011
"575" 1 0 11 149 2011
"576" 1 1 11 143 2012
"577" 1 1 11 120 2011
"578" 1 1 11 125 2011
"579" 1 0 11 126 2010
"580" 1 0 11 115 2011
"581" 1 0 11 114 2011
"582" 2 1 11 111 2011
"583" 1 1 11 139 2011
"584" 1 1 11 126 2011
"585" 1 1 11 121 2011
"586" 1 0 11 113 2011
"587" 1 0 11 145 2011
"588" 1 0 11 109 2011
"589" 1 1 11 124 2011
"590" 1 1 11 123 2011
"591" 1 0 11 131 2004
"592" 1 0 11 122 2004
"593" 1 0 11 170 2004
"594" 1 0 11 108 2004
"595" 1 0 11 133 2004
"596" 1 0 11 180 2004
"597" 2 0 11 120 2008
"598" 1 0 11 114 2008
"599" 1 0 11 118 2008
"600" 1 0 11 117 2008
"601" 2 1 11 119 2008
"602" 1 0 11 168 2008
"603" 1 0 11 105 2008
"604" 2 0 11 109 2008
"605" 1 1 11 171 2008
"606" 1 1 11 175 2008
"607" 2 0 11 106 2008
"608" 1 0 11 107 2008
